iter	Passed	Remaining
271	2498	6687
272	2506	6675
273	2515	6665
274	2524	6655
275	2531	6640
276	2539	6627
277	2547	6617
278	2554	6601
279	2561	6586
280	2568	6572
281	2576	6559
282	2583	6544
283	2591	6533
284	2599	6520
285	2606	6507
286	2612	6489
287	2621	6482
288	2630	6471
289	2638	6459
290	2645	6446
291	2654	6435
292	2660	6420
293	2668	6408
294	2676	6395
295	2684	6384
296	2692	6372
297	2699	6358
298	2706	6344
299	2714	6334
300	2722	6321
301	2729	6308
302	2735	6293
303	2746	6286
304	2753	6273
305	2762	6264
306	2772	6257
307	2779	6244
308	2788	6236
309	2798	6229
310	2806	6218
311	2815	6207
312	2823	6197
313	2831	6186
314	2837	6169
315	2845	6160
316	2852	6145
317	2860	6135
318	2867	6122
319	2876	6113
320	2883	6098
321	2891	6088
322	2899	6078
323	2907	6067
324	2916	6057
325	2925	6048
326	2936	6042
327	2943	6029
328	2951	6018
329	2960	6010
330	2968	6000
331	2977	5991
332	2985	5980
333	2992	5966
334	3001	5957
335	3010	5948
336	3019	5940
337	3027	5930
338	3036	5919
339	3044	5910
340	3052	5900
341	3063	5893
342	3071	5884
343	3079	5872
344	3088	5863
345	3093	5848
346	3110	5853
347	3118	5843
348	3128	5834
349	3135	5823
350	3142	5811
351	3152	5802
352	3161	5794
353	3170	5786
354	3181	5780
355	3188	5767
356	3196	5757
357	3207	5752
358	3213	5737
359	3221	5727
360	3228	5715
361	3238	5707
362	3246	5696
363	3252	5683
364	3262	5675
365	3271	5666
366	3278	5655
367	3287	5646
368	3294	5634
369	3302	5623
370	3310	5613
371	3321	5607
372	3325	5590
373	3335	5582
374	3343	5572
375	3352	5564
376	3360	5552
377	3366	5539
378	3375	5530
379	3383	5520
380	3391	5509
381	3399	5499
382	3406	5487
383	3415	5478
384	3421	5465
385	3429	5455
386	3439	5447
387	3446	5436
388	3456	5428
389	3462	5416
390	3470	5405
391	3478	5395
392	3487	5386
393	3496	5378
394	3505	5369
395	3514	5360
396	3520	5347
397	3526	5333
398	3532	5321
399	3542	5313
400	3550	5303
401	3559	5295
402	3566	5283
403	3575	5275
404	3584	5266
405	3595	5260
406	3605	5253
407	3614	5243
408	3624	5237
409	3631	5226
410	3638	5214
411	3646	5204
412	3656	5197
413	3664	5187
414	3673	5178
415	3680	5166
416	3690	5159
417	3700	5152
418	3709	5143
419	3715	5131
420	3724	5122
421	3733	5113
422	3741	5103
423	3750	5094
424	3757	5083
425	3764	5072
426	3773	5063
427	3781	5054
428	3789	5043
429	3798	5034
430	3806	5025
431	3815	5016
432	3822	5005
433	3831	4996
434	3837	4984
435	3844	4973
436	3853	4964
437	3860	4953
438	3869	4944
439	3876	4933
440	3884	4924
441	3894	4916
442	3903	4907
443	3910	4896
444	3919	4887
445	3927	4878
446	3933	4865
447	3943	4858
448	3949	4846
449	3957	4836
450	3964	4825
451	3970	4813
452	3978	4803
453	3986	4794
454	3993	4783
455	4003	4776
456	4013	4768
457	4020	4757
458	4026	4745
459	4034	4735
460	4042	4726
461	4050	4717
462	4058	4707
463	4064	4694
464	4072	4685
465	4081	4676
466	4091	4669
467	4097	4657
468	4105	4648
469	4112	4637
470	4122	4630
471	4129	4619
472	4137	4610
473	4147	4602
474	4156	4594
475	4165	4585
476	4171	4573
477	4179	4563
478	4186	4553
479	4195	4545
480	4203	4535
481	4213	4528
482	4222	4520
483	4229	4509
484	4238	4500
485	4246	4490
486	4254	4481
487	4262	4472
488	4270	4462
489	4278	4453
490	4286	4444
491	4296	4435
492	4305	4427
493	4312	4417
494	4320	4408
495	4328	4398
496	4336	4388
497	4343	4378
498	4352	4369
499	4362	4362
500	4369	4352
501	4378	4343
502	4389	4336
503	4395	4325
504	4403	4316
505	4412	4307
506	4419	4297
507	4426	4287
508	4436	4279
509	4443	4269
510	4451	4260
511	4460	4251
512	4470	4244
513	4478	4234
514	4483	4222
515	4491	4213
516	4500	4204
517	4509	4195
518	4516	4186
519	4525	4177
520	4533	4168
521	4541	4158
522	4549	4148
523	4556	4138
524	4563	4129
525	4573	4121
526	4580	4110
527	4586	4100
528	4593	4090
529	4601	4081
530	4612	4073
531	4619	4063
532	4629	4055
533	4637	4046
534	4645	4037
535	4651	4026
536	4659	4017
537	4666	4007
538	4674	3997
539	4683	3989
540	4692	3981
541	4702	3973
542	4708	3962
543	4717	3954
544	4725	3945
545	4734	3936
546	4741	3926
547	4749	3917
548	4757	3907
549	4764	3898
550	4773	3889
551	4780	3879
552	4787	3869
553	4796	3861
554	4803	3851
555	4809	3840
556	4817	3831
557	4826	3823
558	4834	3813
559	4843	3805
560	4852	3797
561	4859	3786
562	4867	3778
563	4876	3769
564	4884	3760
565	4892	3751
566	4901	3742
567	4910	3734
568	4919	3726
569	4929	3718
570	4940	3711
571	4949	3703
572	4960	3696
573	4970	3688
574	4981	3681
575	4989	3673
576	4999	3664
577	5008	3656
578	5017	3648
579	5025	3638
580	5036	3632
581	5047	3625
582	5054	3615
583	5064	3607
584	5072	3598
585	5081	3590
586	5089	3580
587	5100	3573
588	5110	3565
589	5122	3559
590	5131	3551
591	5142	3544
592	5152	3536
593	5162	3528
594	5169	3518
595	5177	3509
596	5187	3501
597	5197	3493
598	5206	3485
599	5212	3475
600	5221	3466
601	5231	3458
602	5240	3449
603	5246	3439
604	5254	3430
605	5262	3421
606	5272	3413
607	5279	3403
608	5290	3396
609	5297	3386
610	5306	3378
611	5316	3370
612	5324	3361
613	5333	3352
614	5342	3344
615	5351	3335
616	5359	3327
617	5368	3318
618	5376	3309
619	5384	3300
620	5394	3292
621	5403	3283
622	5409	3273
623	5418	3265
624	5428	3257
625	5437	3248
626	5445	3239
627	5454	3230
628	5462	3222
629	5473	3214
630	5481	3205
631	5489	3196
632	5496	3186
633	5503	3177
634	5510	3167
635	5519	3158
636	5527	3150
637	5536	3141
638	5546	3133
639	5553	3123
640	5562	3115
641	5568	3105
642	5576	3096
643	5585	3087
644	5593	3078
645	5601	3069
646	5609	3060
647	5617	3051
648	5625	3042
649	5633	3033
650	5642	3024
651	5651	3016
652	5659	3007
653	5668	2999
654	5675	2989
655	5684	2980
656	5693	2972
657	5702	2963
658	5708	2954
659	5717	2945
660	5725	2936
661	5733	2927
662	5741	2918
663	5749	2909
664	5756	2899
665	5763	2890
666	5771	2881
667	5778	2871
668	5786	2862
669	5792	2852
670	5799	2843
671	5808	2835
672	5817	2826
673	5823	2816
674	5831	2807
675	5838	2798
676	5846	2789
677	5854	2780
678	5863	2771
679	5870	2762
680	5878	2753
681	5887	2745
682	5896	2736
683	5903	2727
684	5909	2717
685	5915	2707
686	5923	2698
687	5932	2690
688	5940	2681
689	5949	2673
690	5958	2664
691	5966	2655
692	5974	2646
693	5981	2637
694	5989	2628
695	5997	2619
696	6007	2611
697	6015	2602
698	6023	2593
699	6036	2587
700	6042	2577
701	6050	2568
702	6063	2561
703	6076	2554
704	6085	2546
705	6110	2544
706	6120	2536
707	6134	2530
708	6143	2521
709	6156	2514
710	6165	2506
711	6181	2500
712	6192	2492
713	6202	2484
714	6210	2475
715	6223	2468
716	6236	2461
717	6245	2452
718	6252	2443
719	6262	2435
720	6274	2428
721	6284	2419
722	6294	2411
723	6305	2403
724	6314	2395
725	6322	2386
726	6330	2377
727	6338	2368
728	6346	2359
729	6354	2350
730	6360	2340
731	6369	2331
732	6377	2323
733	6387	2314
734	6395	2305
735	6402	2296
736	6410	2287
737	6418	2278
738	6426	2269
739	6433	2260
740	6442	2251
741	6451	2243
742	6461	2235
743	6470	2226
744	6477	2217
745	6485	2208
746	6494	2199
747	6503	2190
748	6510	2181
749	6519	2173
750	6527	2164
751	6537	2156
752	6546	2147
753	6554	2138
754	6564	2130
755	6571	2121
756	6579	2111
757	6587	2103
758	6592	2093
759	6600	2084
760	6609	2075
761	6620	2067
762	6627	2058
763	6636	2050
764	6645	2041
765	6651	2031
766	6659	2022
767	6667	2014
768	6674	2004
769	6681	1995
770	6690	1987
771	6700	1978
772	6705	1969
773	6713	1960
774	6720	1951
775	6728	1942
776	6734	1932
777	6743	1924
778	6750	1914
779	6759	1906
780	6768	1897
781	6778	1889
782	6786	1880
783	6794	1871
784	6801	1862
785	6809	1853
786	6817	1845
787	6824	1836
788	6833	1827
789	6840	1818
790	6849	1809
791	6858	1801
792	6865	1792
793	6874	1783
794	6882	1774
795	6890	1765
796	6898	1757
797	6907	1748
798	6918	1740
799	6925	1731
800	6934	1722
801	6941	1713
802	6949	1704
803	6958	1696
804	6967	1687
805	6976	1679
806	6986	1670
807	6995	1662
808	7005	1653
809	7012	1644
810	7020	1636
811	7030	1627
812	7039	1619
813	7049	1610
814	7055	1601
815	7062	1592
816	7071	1583
817	7080	1575
818	7086	1566
819	7097	1558
820	7107	1549
821	7116	1541
822	7126	1532
823	7134	1523
824	7143	1515
825	7154	1507
826	7164	1498
827	7172	1489
828	7181	1481
829	7192	1473
830	7202	1464
831	7210	1455
832	7217	1447
833	7225	1438
834	7235	1429
835	7242	1420
836	7252	1412
837	7258	1403
838	7267	1394
839	7275	1385
840	7282	1376
841	7290	1368
842	7299	1359
843	7308	1350
844	7316	1342
845	7324	1333
846	7333	1324
847	7341	1315
848	7351	1307
849	7358	1298
850	7364	1289
851	7371	1280
852	7379	1271
853	7387	1262
854	7396	1254
855	7405	1245
856	7412	1236
857	7421	1228
858	7430	1219
859	7436	1210
860	7445	1201
861	7454	1193
862	7463	1184
863	7468	1175
864	7478	1167
865	7485	1158
866	7494	1149
867	7502	1140
868	7509	1132
869	7517	1123
870	7525	1114
871	7534	1106
872	7545	1097
873	7551	1088
874	7560	1080
875	7569	1071
876	7576	1062
877	7584	1053
878	7592	1045
879	7599	1036
880	7607	1027
881	7617	1019
882	7625	1010
883	7632	1001
884	7639	992
885	7648	984
886	7658	975
887	7666	967
888	7673	958
889	7681	949
890	7690	940
891	7696	931
892	7703	923
893	7712	914
894	7721	905
895	7729	897
896	7737	888
897	7746	879
898	7754	871
899	7762	862
900	7770	853
901	7777	845
902	7783	836
903	7791	827
904	7799	818
905	7807	810
906	7816	801
907	7824	792
908	7832	784
909	7840	775
910	7850	766
911	7859	758
912	7866	749
913	7874	740
914	7882	732
915	7889	723
916	7896	714
917	7906	706
918	7913	697
919	7921	688
920	7929	680
921	7936	671
922	7943	662
923	7954	654
924	7961	645
925	7971	637
926	7981	628
927	7990	619
928	8001	611
929	8009	602
930	8014	593
931	8022	585
932	8031	576
933	8040	568
934	8050	559
935	8058	551
936	8066	542
937	8074	533
938	8085	525
939	8091	516
940	8098	507
941	8106	499
942	8116	490
943	8124	481
944	8133	473
945	8142	464
946	8150	456
947	8154	447
948	8163	438
949	8173	430
950	8184	421
951	8193	413
952	8202	404
953	8211	395
954	8218	387
955	8227	378
956	8235	370
957	8243	361
958	8250	352
959	8259	344
960	8266	335
961	8275	326
962	8282	318
963	8292	309
964	8297	300
965	8304	292
966	8311	283
967	8318	274
968	8327	266
969	8336	257
970	8345	249
971	8353	240
972	8360	232
973	8370	223
974	8378	214
975	8387	206
976	8394	197
977	8401	188
978	8408	180
979	8416	171
980	8425	163
981	8433	154
982	8441	145
983	8446	137
984	8454	128
985	8463	120
986	8469	111
987	8477	102
988	8485	94
989	8494	85
990	8502	77
991	8509	68
992	8516	60
993	8524	51
994	8535	42
995	8544	34
996	8553	25
997	8562	17
998	8571	8
999	8580	0
